,feature,feature_spellcheck
710,akinwa,akin
711,akiralane,airplane
712,akkaraipattu,-1
713,akosombo,-1
714,akpbs,-1
715,akqing,-1
716,akra,agra
717,akram,-1
718,akron,akron
719,aksu,as
720,aktion,action
721,akufo,auto
722,akvpjz,-1
723,akwatab,-1
724,al,al
725,ala,all
726,alagorani,-1
727,alai,-1
728,alaikum,-1
729,alain,again
730,alam,alarm
731,alamant,adamant
732,alan,alan
733,alang,along
734,alarm,alarm
735,alarme,-1
736,alarmingly,alarming
737,alas,alas
738,alasai,alaska
739,alaska,alaska
740,alaza,-1
741,albania,albany
742,albanian,albanians
743,albert,albert
744,albopictus,-1
745,album,album
746,alcala,-1
747,alcohol,alcohol
748,aldebaran,-1
749,aldhanhani,-1
750,ale,ale
751,aleg,leg
752,alein,alien
753,alem,-1
754,alementary,-1
755,alert,alert
756,alerte,alert
757,alertnet,alertness
758,alex,-1
759,alexa,-1
760,alexander,alexander
761,alexandre,alexandre
762,alexandria,alexandria
763,alexie,alexis
764,alexis,alexis
765,alexjsimons,-1
766,alexmfischer,-1
767,alexxcomohoping,-1
768,alfred,alfred
769,algae,alae
770,algal,all
771,alger,anger
772,algeria,algebra
773,algerian,wallerian
774,algers,-1
775,algiers,algiers
776,alguma,-1
777,algumas,albums
778,alguns,guns
779,alhadiino,-1
780,alhadino,-1
781,alhamdulillah,-1
782,ali,ali
783,alien,alien
784,alienation,alteration
785,align,align
786,alike,alike
787,alikum,alike
788,alimentary,alimentary
789,alipur,-1
790,alive,alive
791,alived,-1
792,alivelshi,-1
793,alix,-1
794,alkaleri,-1
795,alkali,alkaline
796,alkaline,alkaline
797,allah,allah
798,allahu,allah
799,allai,allay
800,allaince,alliance
801,allarecommon,-1
802,alle,all
803,allegations,allegation
804,allege,allege
805,allegedly,allegedly
806,allemande,-1
807,allen,allen
808,aller,-1
809,allergic,-1
810,allergies,-1
811,allergy,-1
812,alleviate,alleviate
813,alleviation,alleviation
814,alley,alley
815,alleys,alleys
816,allhadino,-1
817,alli,all
818,alliance,alliance
819,alliances,alliances
820,allieonly,-1
821,alll,all
822,allo,all
823,allocate,allocate
824,allocation,allocation
825,allocations,allocation
826,allopathic,allopaths
827,allot,allot
828,allow,allow
829,allowance,allowance
830,allready,already
831,allright,alright
832,allsitting,-1
833,allstate,allocate
834,alluvial,alluvial
835,alluvium,alluvial
836,allways,always
837,ally,ally
838,almaty,-1
839,almo,also
840,almost,almost
841,alo,all
842,aloe,aloe
843,aloft,aloft
844,alone,alone
845,along,along
846,alongside,alongside
847,alongwith,-1
848,alor,valor
849,alos,also
850,alot,-1
851,alpha,alpha
852,alphabet,alphabet
853,alprai,alpha
854,alraedy,already
855,alrai,-1
856,alreadi,already
857,already,already
858,alrededores,-1
859,alredy,already
860,alresdy,already
861,alright,alright
862,als,-1
863,also,also
864,alstom,also
865,alt,-1
866,altay,altar
867,alter,alter
868,alterations,alterations
869,altercations,alterations
870,alternate,alternate
871,alternative,alternative
872,alternatives,alternatives
873,alternet,altered
874,although,although
875,altidor,-1
876,altit,-1
877,altitude,attitude
878,alto,also
879,altogether,altogether
880,alum,alum
881,aluminium,aluminium
882,aluminum,aluminium
883,alumni,-1
884,alur,-1
885,alvaro,alarm
886,alway,-1
887,always,always
888,alyans,always
889,alyas,alas
890,alyne,alone
891,alysonthbpinero,-1
892,alyssa,alaska
893,alzamiento,-1
894,amachu,apache
895,amad,amid
896,amadou,amazon
897,amal,-1
898,amalgams,amalgam
899,aman,man
900,amanh,amant
901,amano,amant
902,amaranthus,-1
903,amateur,amateur
904,amaya,may
905,amaze,amazed
906,amazingsandy,-1
907,amazon,amazon
908,ambanja,-1
909,ambasad,-1
910,ambassade,ambassador
911,ambassador,ambassador
912,ambassy,embassy
913,amber,amber
914,ambertheally,-1
915,ambiance,alliance
916,ambit,-1
917,ambition,ambition
918,ambitious,ambitious
919,ambon,cambon
920,ambroide,ambrine
921,ambroise,ambrine
922,ambulance,ambulance
923,ambulancemen,-1
924,ambulances,ambulance
925,ambulu,ambush
926,ambush,ambush
927,amc,am
928,amcfearfest,-1
929,amcny,-1
930,amd,and
931,amda,and
932,amdad,-1
933,amdatlady,-1
934,amea,area
935,amen,amen
936,amend,amend
937,amendment,amendment
938,amendments,amendments
939,amenities,amenities
940,amenorrhea,-1
941,ament,agent
942,amercian,american
943,amerger,merger
944,america,america
945,americain,american
946,americaine,american
947,americains,americans
948,american,american
949,americans,americans
950,americares,americans
951,americas,-1
952,amerika,america
953,amerique,-1
954,ames,-1
955,amessage,message
956,amhara,-1
957,ami,ami
958,amid,amid
959,amidst,amidst
960,amien,alien
961,amilcar,familiar
962,amin,-1
963,aminu,-1
964,amir,air
965,amiright,-1
966,amish,amiss
967,amisom,-1
968,amitabha,-1
969,amiti,amity
970,amitie,-1
971,amity,amity
972,amkf,-1
973,amman,maman
974,ammonia,ammonia
975,ammonium,ammonium
976,ammunition,ammunition
977,amnesty,amnesty
978,amo,am
979,amodiaquine,-1
980,amoebic,amoeboid
981,among,among
982,amongst,amongst
983,amoni,among
984,amoo,-1
985,amores,-1
986,amother,another
987,amount,amount
988,amoxicilline,-1
989,amp,amp
990,ampara,apart
991,amparihibe,-1
992,ampere,-1
993,amphibious,-1
994,ample,ample
995,amplify,amply
996,amplitude,aptitude
997,amplitudes,-1
998,amputate,amputate
999,amputation,amputation
1000,amputees,-1
1001,amran,man
1002,amri,ami
1003,amritanandamayi,-1
1004,amtimyap,-1
1005,amu,am
1006,amudarya,-1
1007,amur,-1
1008,amuria,america
1009,amuse,amuse
1010,amy,amy
1011,amywine,ambrine
1012,ana,ana
1013,anacreon,-1
1014,anaemia,anaemia
1015,anaemic,anaemic
1016,anaesthesiologist,-1
1017,anaesthetist,anaesthetist
1018,anaesthetists,anaesthetist
1019,anakreyon,-1
1020,analgesics,analgesia
1021,analyse,analyse
1022,analysis,analysis
1023,analyst,analyst
1024,analysts,analysis
1025,analytical,analytical
1026,analyze,analyze
1027,anand,and
1028,anapa,-1
1029,anarchism,anarchist
1030,anarchy,anarchy
1031,anba,anna
1032,anbaa,anna
1033,anbasad,-1
1034,anc,and
1035,ancestral,ancestral
1036,anchor,anchor
1037,anchorage,-1
1038,ancient,ancient
1039,andabout,-1
1040,andaman,adamant
1041,andamans,adamant
1042,andarum,antrum
1043,andatopaz,-1
1044,andaz,and
1045,andcommitsaed,-1
1046,anddddd,-1
1047,andersoncooper,-1
1048,andes,aides
1049,andhra,anthrax
1050,andiamo,-1
1051,andkhoi,-1
1052,andkhoy,-1
1053,andma,and
1054,andra,andre
1055,andreas,andrews
1056,andrehabilitation,-1
1057,andrew,andrew
1058,andrewphelps,-1
1059,andris,andros
1060,android,-1
1061,andy,andy
1062,andymcr,-1
1063,andyycheeks,-1
1064,anecentral,ancestral
1065,anefis,alexis
1066,anele,-1
1067,anemia,anaemia
1068,anerood,anteroom
1069,anesthesiologists,-1
1070,anesthesiology,-1
1071,anesthetist,anaesthetist
1072,anesthetists,anaesthetist
1073,anews,news
1074,aney,any
1075,anf,and
1076,anganwadi,-1
1077,anganwadis,-1
1078,angel,angel
1079,angeles,angeles
1080,angelinas,-1
1081,angelmissionshaiti,-1
1082,angels,angels
1083,anger,anger
1084,angetu,-1
1085,angkearhdei,-1
1086,anglade,angle
1087,anglais,anglaise
1088,anglaise,anglaise
1089,angle,angle
1090,angmancuso,-1
1091,angoche,-1
1092,angola,angela
1093,angolan,-1
1094,angolans,-1
1095,angop,-1
1096,angry,angry
1097,anhui,anti
1098,anhy,any
1099,anielsahyounie,-1
1100,animal,animal
1101,animals,animals
1102,animation,animation
1103,animator,-1
1104,anini,-1
1105,anisopliae,-1
1106,anjar,ajar
1107,anjaw,anna
1108,ank,and
1109,ankle,ankle
1110,ankq,and
1111,anl,and
1112,anm,and
1113,anmore,anymore
1114,anmwey,answer
1115,annalisis,analysis
1116,annan,anna
1117,anne,anne
1118,annex,annex
1119,annexation,annexation
1120,annexe,annexed
1121,annie,anne
1122,anniversary,anniversary
1123,annnd,and
1124,annnnnnd,-1
1125,annot,cannot
1126,announce,announce
1127,announcement,announcement
1128,announcements,announcements
1129,announcers,announces
1130,annoy,annoy
1131,annual,annual
1132,annually,annually
1133,annul,annual
1134,annum,anna
1135,annviv,-1
1136,anomalies,anomalies
1137,anomalous,anomalies
1138,anomalously,-1
1139,anomaly,-1
1140,anonce,-1
1141,anonncer,-1
1142,anonymous,anonymous
1143,anopheles,-1
1144,anopheline,-1
1145,anorth,north
1146,anorther,another
1147,anot,not
1148,another,another
1149,anou,-1
1150,anouce,-1
1151,anounce,announce
1152,anouncing,announcing
1153,anp,and
1154,anpi,anti
1155,anpuvalipuram,-1
1156,ans,and
1157,ansagal,-1
1158,ansar,-1
1159,ansavo,-1
1160,ansdeno,arseno
1161,anse,anne
1162,anseba,angela
1163,ansf,and
1164,anshan,shan
1165,ansongo,antonio
1166,ansumane,inhumane
1167,answe,answer
1168,answer,answer
1169,ant,ant
1170,antalaha,-1
1171,antananarivo,-1
1172,antar,altar
1173,antara,-1
1174,ante,ante
1175,antelope,envelope
1176,antenatal,-1
1177,antenna,-1
1178,antennae,-1
1179,antequated,attenuated
1180,anthelmintic,-1
1181,anthem,them
1182,anthill,-1
1183,anthills,-1
1184,anthing,anything
1185,anthony,anthony
1186,anthonystevens,-1
1187,anthopro,-1
1188,anthracnose,-1
1189,anthrax,anthrax
1190,anthropogenic,-1
1191,anthropologists,-1
1192,anti,anti
1193,antibacterial,-1
1194,antibiotic,-1
1195,antibiotics,-1
1196,anticipate,anticipate
1197,anticipation,anticipation
1198,anticyclone,-1
1199,antidote,antidotes
1200,antiflu,-1
1201,antifreeze,-1
1202,antifungus,-1
1203,antigen,antigen
1204,antigovernment,-1
1205,antihitamines,-1
1206,antillais,-1
1207,antillen,-1
1208,antimalarial,-1
1209,antimalarials,-1
1210,antimicrobial,-1
1211,antimicrobials,-1
1212,antipersonnel,-1
1213,antipoverty,-1
1214,antiquate,-1
1215,antique,antique
1216,antiquities,iniquities
1217,antiquity,antiquity
1218,antiretroviral,-1
1219,antiriot,anterior
1220,antiseismic,-1
1221,antiseptic,antiseptic
1222,antiseptics,antiseptics
1223,antitank,-1
1224,antiterror,-1
1225,antiterrorism,-1
1226,antiterrorist,-1
1227,antithelmics,-1
1228,antitrafficking,-1
1229,antitussives,-1
1230,antiviral,-1
1231,antiye,-1
1232,antmarshall,-1
1233,antocurcio,-1
1234,antofagasta,-1
1235,antoine,anyone
1236,anton,anton
1237,antonio,antonio
1238,antonov,antonov
1239,antoon,anton
1240,antre,-1
1241,ants,ants
1242,antsiranana,-1
1243,antsohihy,-1
1244,antsokia,-1
1245,anuradhapura,-1
1246,anwar,-1
1247,anxiety,anxiety
1248,anxiolytics,-1
1249,anxious,anxious
1250,anya,any
1251,anybody,anybody
1252,anyhow,anyhow
1253,anymore,anymore
1254,anyone,anyone
1255,anyplace,-1
1256,anyta,anita
1257,anythign,anything
1258,anything,anything
1259,anythinge,anything
1260,anytime,daytime
1261,anytin,anything
1262,anyway,anyway
1263,anyways,anyway
1264,anywhere,anywhere
1265,anzar,-1
1266,ao,-1
1267,aoixkkel,-1
1268,aoki,-1
1269,aokts,-1
1270,aor,-1
1271,aout,-1
1272,aox,-1
1273,ap,-1
1274,apac,apace
1275,apart,apart
1276,apartbeat,apartment
1277,apartheid,-1
1278,apartment,apartment
1279,apartments,apartments
1280,apathy,apathy
1281,apc,apt
1282,apea,area
1283,apeal,appeal
1284,apec,-1
1285,apeel,-1
1286,apen,open
1287,apex,apex
1288,apheda,ahead
1289,aphid,-1
1290,aphids,-1
1291,api,apt
1292,apia,asia
1293,apinormally,abnormally
1294,apl,all
1295,aplace,place
1296,aplastic,plastic
1297,aplusk,-1
1298,apna,anna
1299,apnea,-1
1300,apni,and
1301,apoc,upon
1302,apocalypse,apocalypse
1303,apocalyptic,apocalyptic
1304,apocolypse,apocalypse
1305,apod,and
1306,apologies,apologies
1307,apologize,apologize
1308,apon,upon
1309,apostate,prostate
1310,app,pp
1311,appal,appeal
1312,apparatchiks,-1
1313,apparatus,apparatus
1314,apparel,apparel
1315,apparent,apparent
1316,apparently,apparently
1317,appartment,apartment
1318,appeal,appeal
1319,appear,appear
1320,appearance,appearance
1321,appearence,appearance
1322,appendage,appendages
1323,appendicitis,appendicitis
1324,appetite,appetite
1325,applaud,applaud
1326,apple,apple
1327,apples,apples
1328,appliance,appliance
1329,appliances,appliances
1330,applicable,applicable
1331,applicant,applicant
1332,application,application
1333,applications,applications
1334,apply,apply
1335,appoint,appoint
1336,appointment,appointment
1337,appointments,appointments
1338,appolo,apply
1339,apportez,-1
1340,apportion,portion
1341,appraisal,appraisal
1342,appraise,appraise
1343,appreciate,appreciate
1344,appreciation,appreciation
1345,apprehend,apprehend
1346,apprentice,apprentice
1347,apprenticeships,apprenticeship
1348,apprise,appraise
1349,approach,approach
1350,appropriate,appropriate
1351,appropriately,appropriately
1352,appropriateness,-1
1353,approval,approval
1354,approve,approve
1355,approx,-1
1356,approximate,approximate
1357,approximately,approximately
1358,apps,-1
1359,apr,air
1360,apreciat,appreciate
1361,apreciate,appreciate
1362,apres,acres
1363,april,april
1364,aprilluvsnkotb,-1
1365,aprimature,premature
1366,apron,apron
1367,aprons,aprons
1368,aproximatif,-1
1369,aprs,-1
1370,apse,-1
1371,apsrtc,apart
1372,apt,apt
1373,apterr,after
1374,aptmore,anymore
1375,apz,apt
1376,aq,-1
1377,aqil,all
1378,aqim,aim
1379,aqmi,ami
1380,aqtxpuzm,-1
1381,aqua,-1
1382,aquacultural,-1
1383,aquaculture,-1
1384,aquatab,-1
1385,aquatable,equitable
1386,aquatabley,-1
1387,aquatabs,-1
1388,aquatad,-1
1389,aquatic,asiatic
1390,aqueduct,aqueducts
1391,aqueducts,aqueducts
