_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,type_of_message,type_of_message:confidence,url_or_name_of_the_stationchannel,what,category,text_no_rt,tweet,type,type_of_message_gold,url_or_name_of_the_stationchannel_gold,user,what_gold
227174039,true,golden,5,11/25/2012 07:05:36,Look at this video or these videos,1.0,"http://t.co/kRWlHaXN
http://t.co/kRWlHaXN
http://t.co/kRWlHaXN
http://t.co/kRWlHaXN
http://t.co/kRWlHaXN","Hurricane Sandy | Kill Confirmed
Hurricane Sandy | Kill Confirmed
MW3 :: Hurricane Sandy | Kill Confirmed
Hurricane Sandy | Kill Confirmed
I uploaded a @YouTube video http://t.co/kRWlHaXN MW3 :: Hurricane Sandy | Kill Confirmed",Informative (Direct),I uploaded a @YouTube video http://t.co/kRWlHaXN MW3 :: Hurricane Sandy | Kill Confirmed,I uploaded a @YouTube video http://t.co/kRWlHaXN MW3 :: Hurricane Sandy | Kill Confirmed,Information Source,Look at this video or these videos,http://t.co/kRWlHaXN MW3,PyroXL,Hurricane Sandy
227174040,true,golden,5,11/24/2012 14:25:36,Look at this photo or these photos,0.806,"http://t.co/hpANdaW2
http://t.co/hpANdaW2
http://t.co/hpANdaW2
N/A
http://t.co/hpANdaW2","This is by far one of the most ominous shots from NYC!
by far one of the most ominous shots from NYC
ominous shots from NYC

most ominous shots from NYC",Informative (Direct),This is by far one of the most ominous shots from NYC! Good luck friends and family. God speed folks! #sandy http://t.co/hpANdaW2,This is by far one of the most ominous shots from NYC! Good luck friends and family. God speed folks! #sandy http://t.co/hpANdaW2,Information Source,Look at this photo or these photos,http://t.co/hpANdaW2,TheToddHarris,one of the most ominous shots from NYC
227174041,true,golden,2,11/23/2012 16:11:21,Look at this video or these videos,1.0,"http://t.co/4C78dm5H
http://t.co/4C78dm5H","Watch Hurricane #Sandy prowling the East Coast up to the morning in a timelapse video of satellite images.
Sandy prowling the East Coast up to the morning in a timelapse video of satellite images",Informative (Indirect),Watch Hurricane #Sandy prowling the East Coast up to the morning in a timelapse video of satellite images. http://t.co/4C78dm5H,RT @NASA: Watch Hurricane #Sandy prowling the East Coast up to the morning in a timelapse video of satellite images. http://t.co/4C78dm5H,Information Source,Look at this video or these videos,http://t.co/4C78dm5H,_KieranJD_,Hurricane #Sandy prowling the East Coast
227174042,true,golden,5,11/25/2012 07:05:36,Watch this TV channel (or: I am watching this channel),0.3538,"http://t.co/H9FXzHLQ
http://t.co/H9FXzHLQ
NA
http://t.co/H9FXzHLQ
http://t.co/H9FXzHLQ","US President @barackobama arrives
barackobama arrives in Atlantic City
US President @barackobama arrives in Atlantic City New Jersey
barackobama
US President @barackobama arrives in Atlantic City New Jersey to inspect damage caused by",Informative (Indirect),LIVE: US President @barackobama arrives in Atlantic City New Jersey to inspect damage caused by#Sandy http://t.co/H9FXzHLQ,RT @BBCBreaking: LIVE: US President @barackobama arrives in Atlantic City New Jersey to inspect damage caused by#Sandy http://t.co/H9FXzHLQ,Information Source,Look at this video or these videos," http://t.co/H9FXzHLQ
http://www.bbc.co.uk/news/world-us-canada-20152684#TWEET323023",AllisonGolds,"@barackobama arrives in Atlantic City New Jersey to inspect damage
US President @barackobama arrives in Atlantic City New Jersey to inspect damage caused by#Sandy
US President @barackobama arrives
@barackobama arrives in Atlantic City New Jersey to inspect damage"
227174043,true,golden,4,11/25/2012 07:09:18,Look at this photo or these photos,1.0,"http://t.co/1UE9LQWw
http://t.co/1UE9LQWw
http://t.co/1UE9LQWw
http://t.co/1UE9LQWw","Pictures: Recovery starts after deadly storm Sandy
Recovery starts after deadly storm Sandy
Recovery starts after deadly storm Sandy
Recovery starts after deadly storm",Informative (Indirect),In Pictures: Recovery starts after deadly storm Sandy http://t.co/1UE9LQWw,In Pictures: Recovery starts after deadly storm Sandy http://t.co/1UE9LQWw,Information Source,Look at this photo or these photos,http://t.co/1UE9LQWw,anummedia,Recovery starts after deadly storm
227174044,true,golden,2,11/24/2012 22:17:12,Look at this web site/page,0.5882,"http://t.co/AyEyfY4k
http://t.co/AyEyfY4k","Hurricane Sandy Aftermath
Hurricane Sandy Aftermath",Informative (Indirect),Photos: The Hurricane Sandy Aftermath: She came she saw she destroyed. http://t.co/AyEyfY4k #Sandy #P2 #Weather,RT @FLH57: Photos: The Hurricane Sandy Aftermath: She came she saw she destroyed. http://t.co/AyEyfY4k #Sandy #P2 #Weather,Information Source,Look at this photo or these photos,http://t.co/AyEyfY4k,arundevkr, Hurricane Sandy Aftermath
227174046,true,golden,6,11/24/2012 22:10:58,Look at this photo or these photos,1.0,"http://t.co/RyS0MRH5
http://t.co/RyS0MRH5
http://t.co/FXYaYjIb
http://t.co/RyS0MRH5
http://t.co/RyS0MRH5
http://t.co/RyS0MRH5","tanker was washed onto Staten Island's shore by #Sandy!
tanker was washed onto Staten Island's shore by #Sandy!
This tanker was washed onto Staten Island's shore
This tanker was washed onto Staten Island's shore by #Sandy!
This tanker was washed onto Staten Island's shore
tanker",Informative (Indirect),This tanker was washed onto Staten Island's shore by #Sandy! Incredible photo: http://t.co/RyS0MRH5 More here: http://t.co/FXYaYjIb,RT @HuffingtonPost: This tanker was washed onto Staten Island's shore by #Sandy! Incredible photo: http://t.co/RyS0MRH5 More here: http://t.co/FXYaYjIb,Information Source,Look at this photo or these photos,http://t.co/RyS0MRH5 / http://t.co/FXYaYjIb,bianca_lutai,tanker was washed onto Staten Island's shore
227174047,true,golden,6,11/25/2012 07:09:18,None of the above,0.8236,"N/A
N/A
N/A
N/A
N/A
N/A","Governor to give #Sandy briefing at 11:15am
Governor to give #Sandy briefing at 11:15am at #NYC office
Governor to give #Sandy briefing
Sandy briefing at 11:15am
Governor
Governor to give briefing at 11:15am at #NYC office",Informative (Indirect),BREAKING: Governor to give #Sandy briefing at 11:15am at #NYC office,RT @NYGovCuomo: BREAKING: Governor to give #Sandy briefing at 11:15am at #NYC office,Information Source,None of the above,,CapitalTonight,
227174048,true,golden,6,11/24/2012 22:17:12,Look at this photo or these photos,1.0,"http://t.co/r25PQ3lT
http://t.co/r25PQ3lT
http://www.staffingtalk.com/sandy-pic-tomb-of-the-unknown-soldier/
http://t.co/r25PQ3lT
http://t.co/r25PQ3lT
http://t.co/r25PQ3lT","Tomb of the Unknown Soldier
Tomb of the Unknown Soldier
This article was written by Gregg Dourgarian
Tomb of the Unknown Soldier
Tomb of the Unknown Soldier
Tomb of the Unknown Soldier",Informative (Indirect),Sandy Pic: Tomb of the Unknown Soldier http://t.co/r25PQ3lT via @sharethis #blesstheUSA,Sandy Pic: Tomb of the Unknown Soldier http://t.co/r25PQ3lT via @sharethis #blesstheUSA,Information Source,Look at this photo or these photos,http://t.co/r25PQ3lT,ChrisMader30,Tomb of the Unknown Soldier
227174049,true,golden,9,11/25/2012 07:05:36,Look at this photo or these photos,0.8711,"http://t.co/ZYbZo5Re
http://t.co/ZYbZo5Re
http://t.co/ZYbZo5Re
http://t.co/ZYbZo5Re
https://twitter.com/ChuckyT3/status/263027069959675904/photo/1
http://t.co/ZYbZo5Re
http://t.co/ZYbZo5Re
http://t.co/ZYbZo5Re
http://t.co/ZYbZo5Re","Statue of Liberty preps for the arrival of #Sandy
Statue of Liberty preps for the arrival of #Sandy
Statue of Liberty preps for the arrival of #Sandy
Statue of Liberty preps for the arrival of #Sandy
Statue of Liberty pic
Statue of Liberty
Statue of Liberty
Statue of Liberty preps for the arrival of #Sandy
Statue of Liberty preps for the arrival of",Informative (Indirect),Statue of Liberty preps for the arrival of #Sandy. #NYC (don't know origin of pic) http://t.co/ZYbZo5Re,Statue of Liberty preps for the arrival of #Sandy. #NYC (don't know origin of pic) http://t.co/ZYbZo5Re,Information Source,Look at this photo or these photos,http://t.co/ZYbZo5Re,ChuckyT3,Statue of Liberty 
227174050,true,golden,5,11/24/2012 22:14:55,Look at this web site/page,0.5943,"http://t.co/PXvVbOv4
http://t.co/PXvVbOv4
http://t.co/PXvVbOv4
http://google.org/crisismap/sandy-2012
http://t.co/PXvVbOv4","RT @usefularts
storm data tracking map
@google's storm data tracking map
storm data tracking map
google's storm data tracking map",Informative (Indirect),RT @usefularts: Have you seen @google's storm data tracking map? Adding time lapse for context would be nice http://t.co/PXvVbOv4 #ddj #data,RT @ddjournalism: RT @usefularts: Have you seen @google's storm data tracking map? Adding time lapse for context would be nice http://t.co/PXvVbOv4 #ddj #data,Information Source,Look at this web site/page,"http://t.co/PXvVbOv4
http://google.org/crisismap/sandy-2012
http://t.co/PXvVbOv4 #ddj #data",ConsultRamy," @google's storm data tracking map
@google's storm data tracking map
storm data
storm data tracking map"
227174051,true,golden,4,11/23/2012 16:11:21,Look at this web site/page,0.5252,"http://t.co/xZgyzZzO
http://t.co/xZgyzZzO
http://t.co/xZgyzZzO
http://t.co/xZgyzZzO","Bush's FEMA director Scott Brown
Bush's FEMA director Scott Brown criticizes Obama for responding to Sandy too ""quickly""
FEMA director Scott Brown criticizes Obama for responding to Sandy too ""quickly""
Bush's FEMA director Scott Brown criticizes Obama for responding to Sandy too ""quickly",Informative (Indirect),"But... RT @thinkprogress: Bush's FEMA director Scott Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/xZgyzZzO","RT @DerekIsNormal: But... RT @thinkprogress: Bush's FEMA director Scott Brown criticizes Obama for responding to Sandy too ""quickly"" http://t.co/xZgyzZzO",Information Source,None of the above,,CrwnedVic,
227174052,true,golden,8,11/24/2012 22:32:41,Look at this photo or these photos,1.0,"http://t.co/1tslqlAn
http://t.co/1tslqlAn
http://t.co/1tslqlAn
http://t.co/1tslqlAn
http://t.co/1tslqlAn
http://t.co/1tslqlAn
http://t.co/1tslqlAn
http://t.co/1tslqlAn","0 photos of NYC hurricane aftermath
What the flood?! 10 photos of NYC hurricane aftermath:
10 photos of NYC hurricane aftermath
NYC hurricane aftermath
10 photos of NYC hurricane aftermath
10 photos of NYC hurricane aftermath
10 photos of NYC hurricane aftermath
NYC hurricane",Informative (Indirect),ÌÄ®ÕÌâå_ÌÄ®ÕÌâå_ÌÄ®ÕÌâåÂ@MTV: What the flood?! 10 photos of NYC hurricane aftermath: http://t.co/1tslqlAn #SandySucksÌÄ®ÕÌâå_ÌÄ®ÕÌâå_ÌÄ‰Û_Ìâå holy shit... So sad_ÌÄ®ÕÌâå«ÌÄ®ÕÌ¢‰âÂ‰ÛÏÌÄ‰Û_Ì¢‰âÂÁ,ÌÄ®ÕÌâå_ÌÄ®ÕÌâå_ÌÄ®ÕÌâåÂ@MTV: What the flood?! 10 photos of NYC hurricane aftermath: http://t.co/1tslqlAn #SandySucksÌÄ®ÕÌâå_ÌÄ®ÕÌâå_ÌÄ‰Û_Ìâå holy shit... So sad_ÌÄ®ÕÌâå«ÌÄ®ÕÌ¢‰âÂ‰ÛÏÌÄ‰Û_Ì¢‰âÂÁ,Information Source,Look at this photo or these photos,http://t.co/1tslqlAn ,csughrue,10 photos of NYC hurricane aftermath
227174053,true,golden,6,11/24/2012 22:10:58,Look at this video or these videos,0.5403,"http://t.co/AvdeDZIU
http://t.co/AvdeDZIU
http://t.co/AvdeDZIU
http://t.co/AvdeDZIU
http://t.co/AvdeDZIU
http://t.co/AvdeDZIU","4 great live streaming webcams
Fager's Island in Ocean City MD as #Sandy moves in
streaming webcams from Fager's Island in Ocean City MD
4 great live streaming webcams
4 great live streaming webcams from Fager's Island in Ocean City MD
live streaming webcams",Informative (Indirect),4 great live streaming webcams from Fager's Island in Ocean City MD as #Sandy moves in http://t.co/AvdeDZIU,RT @stormchaser4850: 4 great live streaming webcams from Fager's Island in Ocean City MD as #Sandy moves in http://t.co/AvdeDZIU,Information Source,Look at this web site/page,http://t.co/AvdeDZIU,Dennix30, Fager's Island in Ocean City MD
227174054,true,golden,9,11/25/2012 07:05:36,Look at this web site/page,0.6837,"http://t.co/Beub7P3E
http://t.co/Beub7P3E
http://t.co/Beub7P3E
http://blogs.scientificamerican.com/observations/2012/10/29/the-science-of-hurricane-sandy-liveblog/
http://t.co/Beub7P3E
http://blogs.scientificamerican.com/observations/2012/10/29/the-science-of-hurricane-sandy-liveblog/
http://t.co/Beub7P3E
http://t.co/Beub7P3E
http://t.co/Beub7P3E","The Science of Hurricane
The Science of Hurricane Sandy Liveblog
The Science of Hurricane Sandy Liveblog
Welcome to Scientific American‘s Science of Sandy live blog where we are posting continuous updates on the storm and its aftermath, and answering your questions
The Science of Hurricane Sandy Liveblog
The Science of Hurricane Sandy- LiveBlog
The Science of Hurricane Sandy
Hurricane Sandy
The Science of Hurricane Sandy",Informative (Indirect),The Science of Hurricane Sandy Liveblog http://t.co/Beub7P3E,RT @sciam: The Science of Hurricane Sandy Liveblog http://t.co/Beub7P3E,Information Source,"Look at this photo or these photos
Look at this web site/page","http://t.co/Beub7P3E
http://www.earthcam.com/usa/newyork/statueofliberty/index.php?cam=liberty_hd",DeobandTablighi,"Science of Hurricane Sandy
The Science of Hurricane Sandy Liveblog
The Science of Hurricane
http://www.earthcam.com/usa/newyork/statueofliberty/index.php?cam=liberty_hd
The Science of Hurricane Sandy Liveblog
The Science of Hurricane Sandy
Sandy Liveblog
Science of Hurricane Sandy"
227174055,true,golden,6,11/24/2012 22:14:55,Look at this web site/page,0.6768,"http://t.co/GKrfn4Qf
http://t.co/GKrfn4Qf
http://t.co/GKrfn4Qf
http://t.co/GKrfn4Qf
http://t.co/GKrfn4Qf
http://t.co/GKrfn4Qf","biggest storms of our lifetimes
One of the biggest storms of our lifetimes is unfolding right now
NEWS
One of the biggest storms of our lifetimes is unfolding right now
One of the biggest storms of our lifetimes is unfolding right now
biggest storms",Informative (Indirect),"GET THIS NEWS: ""One of the biggest storms of our lifetimes is unfolding right now."" http://t.co/GKrfn4Qf","RT @BlackGlamGoth: GET THIS NEWS: ""One of the biggest storms of our lifetimes is unfolding right now."" http://t.co/GKrfn4Qf",Information Source,Look at this web site/page,"http://t.co/GKrfn4Qf
http://www.nytimes.com/2012/10/30/us/hurricane-sandy-churns-up-east-coast.html?smid=tw-nytimes&_r=0",DigitalDDynasty,"""One of the biggest storms of our lifetimes is unfolding right now.""
One of the biggest storms of our lifetimes is unfolding right now
One of the biggest storms of our lifetimes
Storm Barrels Through Region, Leaving Destructive Path"
227174056,true,golden,5,11/25/2012 07:17:24,Look at this web site/page,0.5923,"http://t.co/F1H6cWCh
http://t.co/F1H6cWCh
http://t.co/F1H6cWCh
http://t.co/F1H6cWCh
http://t.co/F1H6cWCh","urricane #Sandy dashboard for #NYC
hurricane #Sandy dashboard for #NYC
hurricane #Sandy dashboard for #NYC
hurricane #Sandy
hurricane Sandy dashboard",Informative (Indirect),hurricane #Sandy dashboard for #NYC http://t.co/F1H6cWCh created by @melanarchy #graphs #weather,RT @noahsussman: hurricane #Sandy dashboard for #NYC http://t.co/F1H6cWCh created by @melanarchy #graphs #weather,Information Source,Look at this web site/page,http://t.co/F1H6cWCh ,edgar,hurricane #Sandy dashboard
227174058,true,golden,2,11/25/2012 07:09:18,Look at this web site/page,1.0,"http://t.co/BSg6NwXP
http://t.co/BSg6NwXP","webcams to provide a high-and-dry look at Hurricane Sandy
Cool collection of webcams to provide a high-and-dry look at Hurricane",Informative (Indirect),Cool collection of webcams to provide a high-and-dry look at Hurricane Sandy http://t.co/BSg6NwXP via @USATODAY,RT @ndiblasio: Cool collection of webcams to provide a high-and-dry look at Hurricane Sandy http://t.co/BSg6NwXP via @USATODAY,Information Source,Look at this web site/page,"http://t.co/BSg6NwXP
http://www.usatoday.com/story/news/nation/2012/10/29/webcams-hurricane-sandy/1666433/",eldavixxl,"high-and-dry look at Hurricane Sandy 
Cool collection of webcams to provide a high-and-dry look at Hurricane Sandy
Webcams provide a high-and-dry look at Hurricane Sandy
Cool collection of webcams"
227174059,true,golden,10,11/25/2012 07:09:18,Look at this photo or these photos,0.7831,"http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x
http://t.co/aCsL511x","New York flooded by Tropical Storm
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm Sandy
New York flooded
New York flooded by Tropical Storm",Informative (Indirect),BBC News - In pictures: New York flooded by Tropical Storm Sandy http://t.co/aCsL511x,BBC News - In pictures: New York flooded by Tropical Storm Sandy http://t.co/aCsL511x,Information Source,Look at this photo or these photos,"http://t.co/aCsL511x
http://www.bbc.co.uk/news/world-us-canada-20119631",Elysium_UK,"New York flooded
New York flooded by Tropical Storm Sandy
New York flooded by Tropical Storm"
227174060,false,finalized,3,11/24/2012 05:48:52,Look at this video or these videos,1.0,"http://t.co/k4hRRVrC
http://t.co/k4hRRVrC
http://t.co/k4hRRVrC","Sandy's assault on NYC
Timelapse video shows Sandy's assault on NYC and the moment the lights went out
Sandy's assault on NYC and the moment the lights went out",Informative (Indirect),VIDEO: Timelapse video shows Sandy's assault on NYC and the moment the lights went out. http://t.co/k4hRRVrC,RT @Jalopnik: VIDEO: Timelapse video shows Sandy's assault on NYC and the moment the lights went out. http://t.co/k4hRRVrC,Information Source,,,Eric_Kanavathi,
227174061,false,finalized,3,11/24/2012 22:35:28,Look at this photo or these photos,1.0,"http://t.co/9rznNcKy
http://t.co/9rznNcKy
http://t.co/9rznNcKy","storm damage
dramatic photos of storm damage
storm damage:",Informative (Indirect),Some dramatic photos of storm damage: http://t.co/9rznNcKy,Some dramatic photos of storm damage: http://t.co/9rznNcKy,Information Source,,,foulknews,
227174062,false,finalized,3,11/24/2012 05:56:17,Look at this photo or these photos,0.6553,"N/A
N/A
http://t.co/RpZrXIUT","Atlantic City in a flood zone -&gt; 1 to 5 ft water depths reported!
Breathtaking view of #Sandy from space
Show Hurricane Sandy's Effects So Far",Informative (Indirect),Breathtaking view of #Sandy from space.. On the ground places like Atlantic City in a flood zone -&gt; 1 to 5 ft water depths reported!,Breathtaking view of #Sandy from space.. On the ground places like Atlantic City in a flood zone -&gt; 1 to 5 ft water depths reported!,Information Source,,,Gary_Archibald,
227174063,false,finalized,3,11/24/2012 22:30:05,Look at this photo or these photos,0.7237,"http://t.co/wRmvMA5m
http://t.co/wRmvMA5m
http://t.co/wRmvMA5m","#Sandy - jetskier down Battery Park #NYC #newyorkcity
jetskier down Battery Park
Battery Park",Informative (Indirect),#Sandy - jetskier down Battery Park #NYC #newyorkcity vid soon youtube - OpieRadio http://t.co/wRmvMA5m,RT @OpieRadio: #Sandy - jetskier down Battery Park #NYC #newyorkcity vid soon youtube - OpieRadio http://t.co/wRmvMA5m,Information Source,,,GaryJ06,
227174064,false,finalized,3,11/25/2012 07:13:17,Look at this video or these videos,1.0,"http://t.co/QDfCfmgD
http://t.co/QDfCfmgD
http://t.co/QDfCfmgD","amazing Hurricane Sandy time-lapse video
http://t.co/QDfCfmgD
Watch this amazing Hurricane Sandy time-lapse video that shows the moment the lights went out",Informative (Indirect),Watch this amazing Hurricane Sandy time-lapse video that shows the moment the lights went out in NYC: http://t.co/QDfCfmgD,RT @raywert: Watch this amazing Hurricane Sandy time-lapse video that shows the moment the lights went out in NYC: http://t.co/QDfCfmgD,Information Source,,,GidgetWA,
227174065,false,finalized,3,11/25/2012 07:13:17,Look at this photo or these photos,1.0,"http://t.co/fPNelP3M
http://t.co/fPNelP3M
http://t.co/fPNelP3M","Eery images from the empty #NYC subways
empty #NYC subways
Eery images from the empty subways",Informative (Indirect),Eery images from the empty #NYC subways - http://t.co/fPNelP3M #sandy,RT @mashable: Eery images from the empty #NYC subways - http://t.co/fPNelP3M #sandy,Information Source,,,iamonlynadine,
227174066,false,finalized,3,11/24/2012 22:32:41,Look at this photo or these photos,0.6408,"http://t.co/Xw5m59H8
http://t.co/Xw5m59H8
http://t.co/Xw5m59H8","rischkopp: Wahnsinn
Shocking Photos After the Devastation of Hurricane Sandy
Hurricane Sandy",Informative (Indirect),Heftig.... #sandy RT @frischkopp: Wahnsinn! The Most Shocking Photos After the Devastation of Hurricane Sandy http://t.co/Xw5m59H8,Heftig.... #sandy RT @frischkopp: Wahnsinn! The Most Shocking Photos After the Devastation of Hurricane Sandy http://t.co/Xw5m59H8,Information Source,,,ihbrune,
227174067,false,finalized,3,11/24/2012 22:38:25,Look at this web site/page,0.6709,"http://t.co/DfDc4rkI
http://t.co/DfDc4rkI
http://t.co/DfDc4rkI","Hurricane Sandy Shows We Need To Prepare For Climate Change
Hurricane Sandy Shows We Need To Prepare For Climate Change Cuomo And Bloomberg Say
We Need To Prepare For Climate Change Cuomo",Informative (Indirect),Hurricane Sandy Shows We Need To Prepare For Climate Change Cuomo And Bloomberg Say http://t.co/DfDc4rkI via @HuffingtonPost,Hurricane Sandy Shows We Need To Prepare For Climate Change Cuomo And Bloomberg Say http://t.co/DfDc4rkI via @HuffingtonPost,Information Source,,,Jelani_Jones,
