_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,source_gold,text_no_rt,tweet,type,type_of_advice_or_caution_gold,user,what_gold,when_gold,where_gold
227175881,true,golden,29,12/10/2012 06:05:12,"Bloomberg
Bloomberg

n/a
Bloomberg

Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg
Bloomberg",Other,0.9684,"Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed
Public transportation closed until further notice
Public transportation closed until further notice
Public transportation closed
Public transportation closed
Public transportation closed
Public transportation closed until further notice.
Public transportation closed until further notice
Public transportation closed
Public transportation closed until further notice
Public transportation closed
Public transportation closed
NYC subway tunnels flooded. Air runways flooded at airport
Public transportation closed
Public transportation closed
Public transportation closed
Public transportation closed
Public transportation closed until further notice.
""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport.
Public transportation closed
Public transportation closed
Public transportation closed until further notice
flooded
Public transportation closed
Some NYC subway tunnels flooded. Air runways flooded at airport","until further notice
until further notice

n/a
N/A
until further notice
N/A

until further notice
until further notice


until further notice


until further notice
until further notice
until further notice
until further notice
Until further notice
until further notice

N/A
N/A
until further notice
until further notice
until further notice

N/A","NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
Some NYC subway tunnels flooded.  Air runways flooded at airport.
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC
NYC",Informative (Direct),Bloomberg,"Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy","RT @xeni: Bloomberg: ""Public transportation closed until further notice."" Some NYC subway tunnels flooded. Air runways flooded at airport. #Sandy",Caution and advice,"A hurricane sighting has been reported
Other",celestemc,"Public transportation closed / NYC subway tunnels flooded. Air runways flooded 
Public transportation closed until further notice
Public transportation closed
Some NYC subway tunnels flooded","until further notice.
until further notice","NYC / at airport
NYC"
227175882,true,golden,29,12/10/2012 06:08:53,"n/a
n/a
n/a
n/a
#Sandy

N/A


N/A

#Sandy
#Sandy

N/A


Na
na
n/a
N/A
N/A
N/A
N/A
N/A
N/A
n/a

N/A",Other,0.9688,"lights go out
If your lights go out
lights go out
lights go out
If your lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore
If your lights go out
If your lights go out
If your lights go out
lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore
lights go out
If your lights go out
lights go out
If your lights go out
your lights go out
If your lights go out
If your lights go out in Toronto it will take a couple of days to restore them
If your lights go out
If your lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore
If your lights go out
If your lights go out
If your lights go out
lights go out
If your lights go out
lights go out
If your lights go out
If your lights go out in Toronto it will take a couple hours to a couple of days to restore","n/a
n/a
n/a
n/a
couple hours to a couple of days

N/A

couple of days to restore
couple of days


a couple hours to a couple of days
couple of days
couple hours to a couple of days

N/A
A couple of days
a couple hours to a couple of days
a couple hours to a couple of days
N/A
N/A
N/A
N/A
N/A
a couple hours to a couple of days
a couple of days

N/A","Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
Toronto
in Toronto
Toronto
Toronto
Toronto",Informative (Direct),,If your lights go out in Toronto it will take a couple hours to a couple of days to restore. #Sandy,"RT @clickflickca: ""If your lights go out in Toronto it will take a couple hours to a couple of days to restore."" #Sandy",Caution and advice,Other,commoncentsmom,If your lights go out,,Toronto
227175883,true,golden,30,12/10/2012 06:08:53,"

n/a
n/a
#Sandy
#Sandy


FEMA


N/A
#Sandy
4FEMA
4FEMA

FEMA
Na
N/A
N/A
N/A

N/A
N/A
n/a
n/a


N/A
N/A",A shelter is open or available,0.925,"search for open shelters
search for open shelters
search for open shelters
search for open shelters
search for open shelters by texting
East coast search for open shelters
search for open shelters by texting
East coast search for open shelters by texting
open shelters
search for open shelters
search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA)
search for open shelters
search for open shelters
search for open shelters by texting
search for open shelters
search for open shelters
search for open shelters
Search for open shelters by texting
search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA).
search for open shelters
search for open shelters
open shelters
search for open shelters
search for open shelters
search for open shelters
search for open shelters by texting
East coast search for open shelters
open shelters
search for open shelters
search for open shelters","

n/a
n/a
N/A
N/A





N/A




n/a
Na
N/A
N/A
N/A

N/A
N/A
n/a
n/a


N/A
N/A","East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast
East coast",Informative (Direct),"N/A
""N/A""",#Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),RT @fema: #Sandy East coast search for open shelters by texting: SHELTER + a zip code to 43362 (4FEMA). Ex: Shelter 01234 (std rates apply),Caution and advice,A shelter is open or available,cubedreamer,"search for open shelters 
search for open shelters
open shelters
East coast search for open shelters by texting
Sandy East coast search for open shelters","N/A
""N/A""
n/a","East coast
East coast
Sandy East coast
#Sandy East coast
east cost
East coast"
227175887,false,finalized,3,12/8/2012 20:37:58,"http://t.co/KQp2f2vX
N/A
http://t.co/KQp2f2vX",A hurricane warning has been issued or has been lifted,0.6619,"Remain in your homes
Remain in your homes while the storm is in progress
Remain in your homes","while the storm is in progress
while the storm is in progress
in progress","N/A
N/A
NYC",Informative (Direct),,Remain in your homes while the storm is in progress. Stay away from windows: http://t.co/KQp2f2vX #Sandy #NYC,RT @MikeBloomberg: Remain in your homes while the storm is in progress. Stay away from windows: http://t.co/KQp2f2vX #Sandy #NYC,Caution and advice,,JahEmpress,,,
227175888,false,finalized,3,12/8/2012 19:34:10,"N/A

n/a",Other,1.0,"BE SAFE!!!
BE SAFE
BE SAFE","N/A
n/a
n/a","NYC and surrounding areas
NYC and surrounding areas
NYC and surrounding areas",Informative (Direct),,Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,RT @TeamApoloKarina: Everyone in NYC and surrounding areas BE SAFE!!! Praying for you all #Sandy,Caution and advice,,jimmbboe,,,
227175889,false,finalized,3,12/8/2012 20:47:20,"N/A
@NewYorkPost
@NewYorkPost",Other,0.6506,"empty streets in the concrete jungle
New York City never sleeps
empty streets in the concrete jungle","N/A
N/A
n/a","New York City
NYC
New York City",Informative (Direct),,@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x empty streets in the concrete jungle!,"RT @ArturinAbreu: ""@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x"" empty streets in the concrete jungle!",Caution and advice,,luisdessommes,,,
227175890,false,finalized,3,12/8/2012 20:53:21,"N/A
N/A
n/a",Other,1.0,"phone network overload
w/phone network overload or no Internet
phone network overload or no Internet can text","N/A
N/A
n/a","N/A
NYC
n/a",Informative (Direct),,NYCÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»ers w/phone network overload or no Internet can text QÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»s to 311692 for info or help. #Sandy Please RT,RT @KattHumor: NYCÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»ers w/phone network overload or no Internet can text QÃƒÆ’Ã‚Â¤ÃƒÆ’Ã‚Â³Ãƒâ€šÃ‚Â»s to 311692 for info or help. #Sandy Please RT,Caution and advice,,markustedeschii,,,
227175891,false,finalized,3,12/8/2012 20:18:01,"#Sandy
N/A
a storm chaser",A hurricane sighting has been reported,0.7003,"interviewed a storm chaser
next 72 hours in NYC especially will be chaos
worst storm in 100 years","next 72 hours
next 72 hours
next 72 hours","NYC
NYC
NYC",Informative (Direct),,Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Just interviewed a storm chaser who says this is the worst storm in 100 years. Says the next 72 hours in NYC especially will be chaos #Sandy,Caution and advice,,MattJohnstonTV,,,
227175892,false,finalized,3,12/8/2012 20:57:21,"#Sandy
N/A
n/a",Other,1.0,"Driving in this is no joke
Driving in this is no joke this
Driving in this is no joke","N/A
N/A
n/a","this
N/A
n/a",Informative (Direct),,Driving in this is no joke this _ÃƒÆ’Ã‚Â´Ãƒâ€šÃ‚Â»Ãƒâ€šÃ¢â‚¬Â  #Sandy,Driving in this is no joke this _ÃƒÆ’Ã‚Â´Ãƒâ€šÃ‚Â»Ãƒâ€šÃ¢â‚¬Â  #Sandy,Caution and advice,,mocha_93,,,
227175893,false,finalized,3,12/10/2012 14:47:51,"http://t.co/v8SGOHpT
http://t.co/v8SGOHpT
http://t.co/v8SGOHpT",A hurricane sighting has been reported,0.7244,"crazy waves & wind
crazy waves & wind
crazy waves & wind","
n/a
n/A","New Buffalo
New Buffalo
New Buffalo",Informative (Direct),,We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... http://t.co/v8SGOHpT,We've seen some crazy waves & wind here in New Buffalo from Hurricane Sandy. Lost a few cushions & some soffitt... http://t.co/v8SGOHpT,Caution and advice,,NewBuffaloInn,,,
227175894,false,finalized,3,12/10/2012 14:30:43,"N/A
n/a
n/A",Other,1.0,"will be closed
New Dramatists will be closed
New Dramatists will be closed","Tuesday Oct. 30
Tuesday Oct. 30
Tuesday Oct. 30","New Dramatists
New Dramatists
New Dramatists",Informative (Direct),,New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,New Dramatists will be closed on Tuesday Oct. 30 due to Hurricane Sandy. Hang in there.,Caution and advice,,NewDramatists,,,
227175895,false,finalized,3,12/8/2012 20:53:21,"N/A
N/A
n/a",A hurricane sighting has been reported,0.7122,"wind and rain are starting up
wind and rain are starting up
wind and rain are starting up","N/A
N/A
n/a","N/A
N/A
n/a",Informative (Direct),,wind and rain are starting up... SANDY'S COMIN,RT @kristinklementz: wind and rain are starting up... SANDY'S COMIN,Caution and advice,,nicholatrinh,,,
227175896,false,finalized,3,12/8/2012 20:57:21,"http://t.co/OJaeiNB9
n/a
http://t.co/OJaeiNB9",A hurricane sighting has been reported,0.7358,"wind's really picking up
wind
wind's really picking up","N/A
n/a
n/a","nyc
nyc
nyc",Informative (Direct),,The wind's really picking up out there ... #sandy #nyc http://t.co/OJaeiNB9,RT @CitizenWilliams: The wind's really picking up out there ... #sandy #nyc http://t.co/OJaeiNB9,Caution and advice,,philcloh2o,,,
227175897,false,finalized,3,12/10/2012 14:34:14,"N/A
n/a
n/A",A hurricane sighting has been reported,0.6647,"high wind
damn high wind
high wind","Now
Now
Now","N/A
n/a
n/A",Informative (Direct),,Now we gotta a damn high wind thanks to that bitch Sandy,Now we gotta a damn high wind thanks to that bitch Sandy,Caution and advice,,SoLowKey1,,,
227175898,false,finalized,3,12/8/2012 19:09:26,"n/a
http://t.co/QabOr5a1
n/a",A hurricane warning has been issued or has been lifted,0.3819,"Hurricane Sandy Shelter
Find the Hurricane Sandy Shelter
Find the Hurricane Sandy Shelter","n/a
N/A
n/a","n/a
Closest to You
Closest to You",Informative (Direct),,How to Find the Hurricane Sandy Shelter Closest to You http://t.co/QabOr5a1,RT @inhabitat: How to Find the Hurricane Sandy Shelter Closest to You http://t.co/QabOr5a1,Caution and advice,,SoulNav,,,
227175899,false,finalized,3,12/8/2012 20:37:58,"N/A
N/A
n/a",A hurricane sighting has been reported,0.7122,"Winds howling crazy like a banshee
Winds howling crazy like a banshee thru NYC
Winds howling crazy like a banshee","N/A
N/A
today","NYC
NYC
thru NYC",Informative (Direct),,Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Winds howling crazy like a banshee thru NYC - bring it on Hurricane Sandy! (good call for the city govt. to shut everything down today),Caution and advice,,SuSohn,,,
227175900,false,finalized,3,12/10/2012 14:47:51,"N/A
n/a
n/A",Other,0.6485,"Hurricane Sandy coming ashore
Starbucks closes all locations
Panic  Starbucks closes","N/A
n/a
n/A","NYC
NYC
Starbucks",Informative (Direct),,Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Panic rules in NYC as Starbucks closes all locations with Hurricane Sandy coming ashore,Caution and advice,,timmyodea,,,
227175901,false,finalized,3,12/8/2012 19:34:10,"N/A

n/a",A hurricane sighting has been reported,1.0,"storm is getting closer
storm is getting closer
storm is getting closer","N/A
n/a
n/a","N/A
n/a
n/a",Informative (Direct),,And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,And so it begins. The storm is getting closer and closer and the wind gets stronger and louder...#sandy,Caution and advice,,vickyXlee,,,
227175902,false,finalized,3,12/10/2012 14:44:08,"N/A
n/a
#sandy #NYC",A hurricane sighting has been reported,1.0,"wind is seriously intense
wind is seriously intense
wind is seriously intense","right now
right now
right now","NYC
NYC
NYC",Informative (Direct),,The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,The wind is seriously intense right now!!! Time to get inside people. I love an adventure for a photo but let's be safe. #sandy #NYC,Caution and advice,,wyattgallery,,,
227175903,false,finalized,3,12/8/2012 20:34:51,"N/A
N/A
http://t.co/tf7VoWGI",A hurricane warning has been issued or has been lifted,0.6506,"President Obama declares states of emergency
President Obama declares states of emergency in New York and Massachusetts
President Obama declares states of emergency","N/A
N/A
n/a","New York and Massachusetts
New York and Massachusetts
New York and Massachusetts",Informative (Indirect),,President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. http://t.co/tf7VoWGI,RT @cnnbrk: President Obama declares states of emergency in New York and Massachusetts due to #Hurricane #Sandy. http://t.co/tf7VoWGI,Caution and advice,,_LetsFlyAway_,,,
